,Name,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
284,Krasnyye Baki,0,RU,1561503038,81,57.13,45.16,43.99,3.38
285,Port Blair,100,IN,1561502993,79,11.67,92.75,82.87,20.98
286,Pamekasan,2,ID,1561502799,80,-7.16,113.47,76.93,5.46
287,Southbridge,90,US,1561503031,100,42.08,-72.03,73.0,8.05
288,Korhogo,94,CI,1561503039,90,9.46,-5.63,74.59,6.82
289,Hirara,40,JP,1561503039,88,24.8,125.28,80.6,3.36
290,Vao,100,EE,1561503039,74,59.1,26.19,56.77,5.84
291,Atambua,0,ID,1561503039,68,-9.11,124.89,75.49,15.7
292,Belfast,15,GB,1561503040,87,54.6,-5.93,57.2,4.7
293,Grand Gaube,75,MU,1561503043,83,-20.01,57.66,73.4,10.29
294,Broken Hill,0,AU,1561503043,81,-31.97,141.45,44.6,8.05
295,Marawi,100,PH,1561503044,90,8.0,124.29,77.0,5.01
296,Camocim,26,BR,1561502873,94,-2.9,-40.84,72.61,5.77
297,Georgiyevka,82,RU,1561503044,81,52.25,40.45,54.61,7.16
298,Anguillara Sabazia,0,IT,1561503044,83,42.08,12.28,78.01,4.7
299,Lokomotivnyy,7,RU,1561503044,85,53.01,60.57,52.99,10.71
300,Prachuap Khiri Khan,100,TH,1561503045,95,11.81,99.79,74.05,7.11
301,Felanitx,0,ES,1561503045,83,39.47,3.15,78.8,6.93
302,Margate,0,AU,1561503045,86,-43.03,147.26,39.99,8.05
303,Omagari,75,JP,1561503045,93,39.45,140.48,62.6,3.36
304,Bela,9,PK,1561503046,66,26.23,66.31,81.25,5.08
305,Hobyo,35,SO,1561503046,75,5.35,48.53,76.75,17.9
306,Malanje,0,AO,1561503046,73,-9.54,16.35,58.21,3.22
307,Wucheng,85,CN,1561503046,99,29.09,119.57,78.01,1.9
308,Quatre Cocos,75,MU,1561503047,83,-20.21,57.76,73.4,10.29
309,Kautokeino,97,NO,1561503018,70,69.01,23.04,45.61,14.0
310,Klenovyy,8,UA,1561503047,80,48.12,39.46,59.11,6.4
311,Kimbe,86,PG,1561503047,63,-5.56,150.15,85.75,4.76
312,Sundsvall,100,SE,1561503047,100,62.39,17.31,57.99,3.11
313,Guozhen,24,CN,1561503047,82,29.3,113.14,77.65,3.06
314,Yamethin,98,MM,1561503048,80,20.43,96.14,79.27,14.92
315,Ahipara,46,NZ,1561503048,74,-35.17,173.16,58.21,10.54
316,Alta,100,NO,1561503048,66,69.97,23.27,53.6,9.17
317,Tortoli,5,IT,1561503048,60,39.93,9.66,75.2,9.17
318,Tondano,20,ID,1561503048,94,1.3,124.91,73.4,3.36
319,Swellendam,72,ZA,1561503049,72,-34.02,20.44,60.8,19.46
320,Bandarbeyla,65,SO,1561503049,64,9.49,50.81,79.09,22.53
321,Port Shepstone,70,ZA,1561503050,91,-30.74,30.45,52.81,3.38
322,Guaruja,0,BR,1561502957,46,-23.99,-46.26,73.4,4.7
323,Bogale,79,MM,1561503050,84,16.29,95.4,81.07,3.33
324,Gwanda,0,ZW,1561503050,91,-20.94,29.0,54.25,8.03
325,Yumen,100,CN,1561503050,33,40.29,97.04,69.37,4.47
326,Sanandaj,0,IR,1561503051,32,35.31,47.0,68.0,3.47
327,Salym,100,RU,1561503051,78,60.06,71.48,47.95,8.46
328,Martyush,86,RU,1561503051,92,56.4,61.89,51.19,10.0
329,Te Anau,2,NZ,1561503051,70,-45.41,167.72,43.27,7.43
330,Syracuse,40,US,1561502872,50,43.05,-76.15,80.6,12.75
331,Hammerfest,75,NO,1561503052,87,70.66,23.68,46.4,21.92
332,Ndago,93,UG,1561503052,96,-0.97,29.98,62.53,1.99
333,Anadyr,40,RU,1561503052,53,64.73,177.51,51.8,8.95
334,De Land,1,US,1561503053,51,40.12,-88.65,84.99,19.46
335,Phan Thiet,89,VN,1561503053,85,10.93,108.1,78.19,4.38
336,Chikitigarh,47,IN,1561503053,80,19.2,84.62,79.27,2.33
337,Nanortalik,90,GL,1561503053,85,60.14,-45.24,44.89,7.02
338,Mwinilunga,0,ZM,1561503057,49,-11.73,24.43,53.71,5.03
339,Cartagena,90,ES,1561503057,78,37.63,-1.0,75.2,9.17
340,Bethel,75,US,1561503058,63,60.79,-161.76,66.2,6.93
341,Victor Harbor,0,AU,1561503058,66,-35.55,138.62,54.0,6.93
342,Miri,33,NG,1561503058,80,10.31,9.75,74.77,5.91
343,Porterville,1,US,1561502879,16,36.07,-119.02,98.01,10.29
344,Northam,20,GB,1561503059,100,51.04,-4.21,63.0,4.7
345,Puerto Escondido,40,MX,1561503059,52,15.86,-97.07,89.6,11.41
346,Konongo,99,GH,1561503059,99,6.62,-1.21,69.19,3.53
347,Smithers,75,CA,1561503060,45,54.78,-127.17,68.0,8.05
348,Oltu,0,TR,1561503060,97,40.55,42.0,52.63,1.43
349,Bahir Dar,0,ET,1561503060,88,11.59,37.39,58.93,3.71
350,Katsuura,75,JP,1561503060,88,33.93,134.5,73.99,11.41
351,Myitkyina,100,MM,1561503061,99,25.38,97.4,72.43,1.32
352,Guaraniacu,87,BR,1561503061,85,-25.1,-52.88,60.37,3.4
353,Oktyabrskoye,0,RU,1561503061,81,56.73,85.44,61.0,2.24
354,Yarada,0,IN,1561503061,83,17.65,83.27,82.15,1.41
355,Warmbad,14,DE,1561503061,69,50.67,13.08,75.0,2.24
356,San Andres,99,PH,1561503062,84,13.32,122.68,82.51,2.82
357,Hamina,100,FI,1561503062,51,60.57,27.2,62.6,8.05
358,Kaitangata,0,NZ,1561503062,70,-46.28,169.85,43.0,5.01
359,Gizo,0,IL,1561503063,83,31.8,34.94,78.8,3.36
360,Mahon,75,IE,1561503063,93,51.89,-8.4,60.8,2.24
361,Saint-Philippe,90,CA,1561503063,88,45.36,-73.48,77.0,5.82
362,Curup,68,ID,1561503063,94,-3.47,102.53,64.69,3.87
363,Anito,96,PH,1561503064,80,12.45,125.29,82.87,4.7
364,Ugra,98,RU,1561503064,80,54.78,34.32,54.79,3.67
365,Brae,70,GB,1561503064,81,60.4,-1.35,50.0,8.05
366,Manggar,40,ID,1561503064,91,-2.88,108.27,79.09,4.41
367,Iranshahr,0,IR,1561503065,43,27.21,60.69,76.57,1.28
368,Cockburn Town,39,TC,1561503065,80,21.46,-71.14,81.07,15.17
369,Talaya,0,RU,1561503065,81,55.79,84.89,57.0,2.24
370,Dawson,1,US,1561503065,48,39.85,-89.46,86.0,16.11
371,Zhezkazgan,51,KZ,1561503065,25,47.8,67.71,75.85,5.12
372,Golden,40,CA,1561503066,32,51.3,-116.96,69.8,4.7
373,Cayenne,0,GF,1561503066,88,4.94,-52.33,78.8,4.32
374,Manzil Kamil,0,TN,1561503066,94,35.62,10.67,77.0,5.82
375,Bodaybo,4,RU,1561503067,56,57.85,114.2,62.89,2.91
376,Tinde,84,TZ,1561503067,63,-3.87,33.2,71.17,8.21
377,Lakes Entrance,0,AU,1561503070,93,-37.88,147.99,23.0,3.22
378,Caravelas,0,BR,1561503070,81,-17.73,-39.27,71.89,7.31
379,Moron,61,VE,1561503071,94,10.49,-68.2,73.33,1.92
380,Mehamn,100,NO,1561503071,90,71.03,27.85,44.17,22.53
381,Ubinskoye,25,RU,1561503071,81,55.31,79.68,58.75,11.48
382,Teixoso,15,PT,1561503072,93,40.31,-7.46,56.95,0.38
383,Yabrud,0,SY,1561503072,44,33.97,36.66,78.8,9.17
384,Jumla,66,NP,1561503072,90,29.28,82.18,51.55,3.49
385,Murchison,0,AU,1561503073,92,-36.62,145.22,43.0,6.51
386,Charters Towers,6,AU,1561503073,40,-20.07,146.27,63.61,11.32
387,Porto Novo,0,BR,1561503073,49,-23.68,-45.44,73.4,4.7
388,Djenne,100,ML,1561503073,32,13.91,-4.55,95.47,10.29
389,Alofi,75,NU,1561503074,74,-19.06,-169.92,78.8,14.99
390,Ilawe,72,NG,1561503074,96,7.87,4.43,72.79,4.43
391,Ayan,0,TR,1561503074,87,40.67,33.6,58.39,3.36
392,Mount Isa,0,AU,1561503074,34,-20.73,139.49,51.8,4.7
393,Saint Anthony,1,US,1561503075,23,43.97,-111.68,80.6,14.99
394,Tuatapere,96,NZ,1561503075,82,-46.13,167.69,44.01,5.99
395,Nome,90,US,1561503075,94,30.04,-94.42,75.0,8.05
396,Ankang,67,CN,1561502840,85,32.73,108.99,71.35,2.35
397,Chachapoyas,98,PE,1561503075,91,-6.23,-77.87,56.05,4.38
398,Meulaboh,100,ID,1561503076,66,4.14,96.13,83.41,7.27
399,Gigmoto,50,PH,1561503076,73,13.78,124.39,85.03,8.16
400,Beian,20,NO,1561503076,87,63.66,9.57,51.01,10.29
401,Krasnoarmeysk,0,RU,1561503077,67,56.12,38.15,63.0,4.72
402,Ancud,90,CL,1561503077,100,-41.87,-73.83,44.6,16.11
403,Banda Aceh,98,ID,1561503078,70,5.56,95.32,83.95,12.53
404,Vernon,1,CA,1561502896,27,50.27,-119.27,77.0,6.93
405,Mbanza-Ngungu,5,CD,1561503078,87,-5.25,14.87,65.05,3.96
406,Huayang,76,CN,1561503078,80,23.62,115.49,80.53,1.59
407,Kirakira,53,SB,1561503078,70,-10.46,161.92,84.31,4.12
408,Humaita,90,AR,1561503079,87,-24.93,-65.37,48.2,2.24
409,Waingapu,4,ID,1561503079,76,-9.65,120.26,71.53,14.67
410,Namatanai,100,PG,1561503079,77,-3.66,152.44,81.43,11.56
411,Ovre Ardal,100,NO,1561503079,95,61.32,7.8,47.41,1.12
412,Baykalovo,40,RU,1561503080,81,64.58,40.26,51.8,2.24
413,Erzin,75,TR,1561503080,100,36.95,36.2,79.0,0.98
414,Kavieng,90,PG,1561503080,74,-2.57,150.8,85.03,18.03
415,Agadez,1,NE,1561503080,35,16.97,7.99,86.0,5.55
416,Esperance,20,TT,1561503080,66,10.24,-61.45,84.2,11.41
417,Alice Springs,0,AU,1561503081,50,-23.7,133.88,33.8,5.82
418,Boditi,89,ET,1561503084,93,6.95,37.86,60.73,1.41
419,Waipawa,0,NZ,1561503084,70,-39.94,176.59,50.65,5.35
420,Cap Malheureux,75,MU,1561503085,83,-19.98,57.61,73.4,10.29
421,Barao de Melgaco,0,BR,1561503085,40,-16.19,-55.97,86.0,5.82
422,Garden City,20,US,1561502852,83,40.73,-73.63,87.01,6.93
423,Taitung,75,TW,1561503086,83,22.76,121.15,78.8,3.36
424,Grand-Santi,77,GF,1561503086,99,4.27,-54.38,73.33,2.37
425,Bayir,0,TR,1561503086,73,37.27,28.22,77.0,2.24
426,Bollnas,100,SE,1561503087,98,61.35,16.39,51.19,3.4
427,Shimoda,75,JP,1561503087,94,34.7,138.93,77.0,2.24
428,Voskresenskoye,0,RU,1561503087,87,56.84,45.43,43.99,3.65
429,Alta Floresta,62,BR,1561503087,60,-9.87,-56.08,73.51,1.63
430,Nizwa,0,OM,1561503088,43,22.93,57.53,78.19,1.34
431,Jablah,0,SY,1561503088,73,35.36,35.93,75.2,3.36
432,Havelock,1,US,1561503036,32,34.88,-76.9,93.2,12.75
433,Chany,71,RU,1561503088,91,55.31,76.76,62.35,11.12
434,Tual,38,ID,1561503089,83,-5.67,132.75,78.73,23.64
435,Cotonou,90,BJ,1561503089,90,6.37,2.43,75.67,5.1
436,Lamar,1,US,1561502909,16,38.09,-102.62,91.99,9.17
437,Helong,47,CN,1561503089,91,25.94,116.13,74.41,0.92
438,Chama,15,ZM,1561503089,68,-11.22,33.16,60.01,1.41
439,San Cristobal,75,EC,1561503090,63,-0.39,-78.55,66.2,13.87
440,Milledgeville,1,US,1561503009,55,33.08,-83.23,90.0,5.82
441,Port Angeles,75,US,1561503090,67,48.12,-123.43,72.0,11.41
442,Nuuk,75,GL,1561503090,87,64.17,-51.74,50.0,5.82
443,Aiken,1,US,1561503090,61,33.56,-81.72,91.0,8.05
444,Kutum,84,SD,1561503091,49,14.2,24.66,78.01,4.59
445,Port Hedland,21,AU,1561503091,47,-20.31,118.58,55.4,9.17
446,Turukhansk,50,RU,1561503091,56,65.8,87.96,48.49,7.07
447,Katsina,61,NG,1561503092,63,12.99,7.6,78.37,13.58
448,Solenzo,98,BF,1561503092,59,12.18,-4.08,83.95,5.64
449,Kuryk,2,KZ,1561503092,49,43.18,51.68,78.01,4.74
450,Sitka,0,US,1561503092,52,37.17,-99.65,89.01,13.0
451,Barreirinhas,2,BR,1561503093,97,-2.75,-42.83,73.15,3.6
452,Athmallik,24,IN,1561503093,77,20.72,84.53,81.61,2.57
453,Moose Factory,90,CA,1561503093,93,51.26,-80.61,66.2,8.05
454,Walvis Bay,38,NA,1561503093,87,-22.95,14.51,52.0,5.82
455,Bathsheba,20,BB,1561503094,74,13.22,-59.52,82.4,18.34
456,Bonavista,61,CA,1561503094,86,48.65,-53.11,50.0,1.01
457,Oranjemund,3,ZA,1561503094,92,-28.55,16.43,55.15,3.91
458,Bantou,72,CN,1561503094,92,26.22,117.49,73.33,0.98
459,Nantai,64,CN,1561503259,88,36.41,105.98,58.21,7.85
460,San Francisco,20,US,1561503194,77,37.78,-122.42,80.01,8.05
461,Awjilah,0,LY,1561503261,48,29.14,21.3,79.09,14.14
462,Palu,0,ID,1561503261,85,-0.9,119.87,78.37,2.19
463,Cherepovets,80,RU,1561503261,79,59.13,37.92,48.31,3.65
464,Mackenzie,90,CA,1561503261,67,55.34,-123.09,62.6,3.36
465,Osorno,90,CL,1561503261,93,-40.57,-73.14,46.4,9.17
466,Beawar,7,IN,1561503262,62,26.1,74.31,85.93,14.61
467,Las Palmas,20,PE,1561503262,290,-6.53,-76.35,62.6,4.7
468,Miram Shah,0,PK,1561503263,56,33.01,70.07,75.85,1.88
469,Wichita Falls,1,US,1561503189,38,33.91,-98.49,93.2,14.99
470,Goiatuba,31,BR,1561503263,54,-18.02,-49.36,70.09,1.63
471,Boa Vista,40,BR,1561503264,74,2.82,-60.67,80.6,6.93
472,Byron Bay,75,AU,1561503040,100,-28.65,153.62,59.0,6.93
473,Kerema,99,PG,1561503265,83,-7.96,145.78,79.63,17.47
474,Panguna,84,PG,1561503265,71,-6.32,155.48,81.61,4.9
475,Pinawa,96,CA,1561503265,55,50.15,-95.88,71.53,9.19
476,Kyren,71,RU,1561503265,72,51.68,102.13,41.11,2.77
477,Volokolamsk,88,RU,1561503265,73,56.03,35.95,54.43,6.93
478,Nova Gorica,0,IT,1561503266,69,45.96,13.65,82.4,4.7
479,Noumea,75,NC,1561503266,83,-22.28,166.46,73.4,9.17
480,Severo-Kurilsk,100,RU,1561503266,93,50.68,156.12,43.81,18.07
481,Tucumcari,1,US,1561503061,8,35.17,-103.73,98.6,10.29
482,Pangnirtung,40,CA,1561503267,81,66.15,-65.72,42.8,9.17
483,Quirinopolis,1,BR,1561503214,55,-18.45,-50.45,70.27,3.67
484,Neepawa,75,CA,1561503482,41,50.23,-99.46,77.0,18.34
485,Rochester,40,US,1561503391,34,44.02,-92.46,82.4,19.46
486,Porecatu,0,BR,1561503483,36,-22.75,-51.38,78.8,3.49
487,Brookings,1,US,1561503275,39,44.31,-96.8,82.4,9.17
488,Tommot,43,RU,1561503483,68,58.97,126.27,62.89,4.03
489,Capreol,40,CA,1561503483,53,46.71,-80.92,73.0,18.34
490,Inuvik,75,CA,1561503484,75,68.36,-133.71,48.2,11.41
491,Mbini,40,GQ,1561503484,94,1.58,9.62,77.0,4.7
492,Vung Tau,100,VN,1561503484,83,10.35,107.08,81.25,6.31
493,Payo,40,ID,1561503386,84,-3.75,103.64,66.13,3.36
494,Cururupu,11,BR,1561503487,97,-1.82,-44.87,73.33,2.59
495,Sandakan,75,MY,1561503488,94,5.84,118.12,77.0,3.36
496,Kaeo,42,NZ,1561503488,96,-35.1,173.78,54.0,3.0
497,Lena,75,US,1561503489,73,32.59,-89.61,84.99,13.87
498,Haines Junction,68,CA,1561503489,39,60.75,-137.51,68.29,2.3
499,Port Moresby,40,PG,1561503489,78,-9.47,147.16,80.6,11.41
500,Bambanglipuro,1,ID,1561503489,87,-7.95,110.28,72.43,5.23
501,Kirkwall,48,GB,1561503490,81,58.98,-2.96,50.0,11.41
502,Harper,40,US,1561503195,48,30.3,-99.24,88.0,8.05
503,Litovko,100,RU,1561503490,89,49.24,135.18,53.71,6.11
504,Davila,75,PH,1561503490,88,18.47,120.58,78.8,5.82
505,Isangel,75,VU,1561503491,83,-19.55,169.27,78.8,9.17
506,Bilibino,57,RU,1561503422,21,68.06,166.44,61.27,13.44
507,Mount Gambier,31,AU,1561503491,100,-37.83,140.78,39.2,9.17
508,Weiser,1,US,1561503268,21,44.25,-116.97,82.4,5.88
509,Flinders,40,AU,1561503307,100,-34.58,150.85,57.0,8.05
510,Peoria,75,US,1561503445,51,40.69,-89.59,86.0,9.17
511,Conde,2,BR,1561503427,96,-11.81,-37.61,67.03,1.68
512,Tarpon Springs,20,US,1561503492,49,28.15,-82.76,93.99,11.41
513,Masuda,90,JP,1561503493,78,34.68,131.85,73.99,4.7
514,Henties Bay,70,NA,1561503493,92,-22.12,14.28,52.0,2.75
515,Port Hardy,40,CA,1561503493,63,50.7,-127.42,64.4,8.05
516,Sao Felix do Xingu,39,BR,1561503494,67,-6.64,-51.99,75.31,3.62
517,Verkhnevilyuysk,0,RU,1561503494,67,63.45,120.31,67.75,4.54
518,Trairi,1,BR,1561503400,91,-3.28,-39.27,70.27,3.4
519,Lorengau,67,PG,1561503494,79,-2.02,147.27,82.69,6.02
520,Kalianget,0,ID,1561503495,69,-7.74,113.68,68.83,1.45
521,Peniche,0,PT,1561503495,88,39.36,-9.38,64.4,6.93
522,Kjollefjord,100,NO,1561503495,89,70.95,27.35,45.07,19.69
523,Kieta,100,PG,1561503495,76,-6.22,155.63,83.05,7.74
524,Zambezi,0,ZM,1561503495,46,-13.55,23.12,55.87,3.15
525,Timbiqui,100,CO,1561503496,83,2.77,-77.67,80.35,11.01
526,Mahanoro,11,MG,1561503496,97,-19.9,48.8,61.63,2.71
527,Fort Nelson,75,CA,1561503420,36,58.81,-122.69,77.0,9.17
528,Kayes,0,ML,1561503496,15,14.44,-11.44,94.93,9.22
529,Serra Talhada,94,BR,1561503496,75,-7.99,-38.29,70.63,10.8
530,Racine,5,US,1561503497,64,42.73,-87.78,81.0,12.75
531,Coihaique,90,CL,1561503497,80,-45.58,-72.07,41.0,4.7
532,San Quintin,100,PH,1561503497,78,17.54,120.52,80.71,2.86
533,Kanniyakumari,97,IN,1561503436,81,8.08,77.57,81.25,21.59
534,Yatou,75,CM,1561503498,100,3.63,9.81,77.0,1.12
535,Ponta Delgada,40,PT,1561503501,77,37.73,-25.67,66.2,12.75
536,Merritt,75,CA,1561503501,29,50.11,-120.79,77.0,2.24
537,Doha,0,QA,1561503502,70,25.29,51.53,89.6,3.36
538,Kolochava,0,UA,1561503502,92,48.43,23.7,59.47,3.06
539,Hohhot,40,CN,1561503503,77,40.81,111.65,64.4,4.47
540,Lithgow,90,AU,1561503503,100,-33.48,150.16,55.99,8.52
541,Saint-Augustin,0,FR,1561503503,78,44.83,-0.61,73.99,5.82
542,Mareeba,90,AU,1561503506,73,-16.99,145.42,71.6,17.22
543,Boulder City,1,US,1561503302,6,35.98,-114.83,100.4,21.92
544,Bosobolo,96,CD,1561503507,96,4.19,19.88,67.57,1.57
545,Deputatskiy,0,RU,1561503508,33,69.3,139.9,70.63,17.63
546,Novikovo,29,UA,1561503508,84,45.05,34.56,66.85,4.88
547,Aripuana,88,BR,1561503508,66,-9.17,-60.63,78.55,1.74
548,Pedasi,100,PA,1561503509,81,7.53,-80.03,78.01,1.01
549,Valley City,20,US,1561503509,44,46.92,-98.0,78.8,18.34
550,Jiexiu,67,CN,1561503509,49,37.02,111.92,71.53,3.2
551,Rio Gallegos,75,AR,1561503510,55,-51.62,-69.22,37.4,13.87
552,Kiama,40,AU,1561503510,100,-34.67,150.86,57.0,8.05
553,Goderich,0,CA,1561503510,60,43.74,-81.71,75.0,8.99
554,New Ipswich,90,US,1561503511,94,42.75,-71.85,71.6,4.7
555,Babra,100,IN,1561503511,83,21.84,71.3,79.63,5.99
556,Cedar City,1,US,1561503511,9,37.68,-113.06,86.0,20.8
557,Adrar,0,DZ,1561503511,6,27.87,-0.29,98.6,6.93
558,Panaba,38,MX,1561503514,74,21.28,-88.27,80.53,14.43
559,Bukachacha,99,RU,1561503515,51,52.99,116.91,66.13,10.85
560,Calatayud,90,ES,1561503515,88,41.35,-1.64,78.8,4.7
561,Vila Velha,20,BR,1561503435,78,-3.71,-38.6,80.6,9.17
562,Fez,0,MA,1561503516,49,34.03,-5.02,71.6,8.05
563,Pathein,80,MM,1561503516,87,16.78,94.73,80.35,2.57
564,Kenda,0,DZ,1561503517,22,35.66,5.57,78.8,5.82
565,Sibu,75,MY,1561503517,94,2.29,111.83,77.0,1.12
566,Paamiut,100,GL,1561503518,99,61.99,-49.67,39.49,7.31
567,Yantal,95,RU,1561503518,50,56.85,105.25,65.05,10.49
568,Zyryanka,0,RU,1561503518,26,65.73,150.89,76.75,8.39
569,Bilma,22,NE,1561503518,23,18.69,12.92,88.81,4.27
